Unnamed: 0,price,mileage,year,previous_owners,doors,seats,fuel_type_Diesel Hybrid,fuel_type_Electric,fuel_type_Petrol,fuel_type_Petrol Hybrid,fuel_type_Petrol Plug-in Hybrid,body_type_Convertible,body_type_Coupe,body_type_Estate,body_type_Hatchback,body_type_MPV,body_type_Minibus,body_type_Pickup,body_type_SUV,body_type_Saloon,gearbox_Manual
60,1699,92000,2009,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
61,999,99000,2004,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
62,700,101000,2003,5.0,2.0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
63,3250,100312,2013,3.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
64,3245,55000,2012,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
65,1250,135000,2008,5.0,5.0,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
66,1900,132000,2008,6.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
67,3495,127000,2015,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
68,10000,46923,2017,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
70,19800,69690,2019,1.0,4.0,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
71,1000,160000,2008,5.0,3.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
72,1490,65500,2008,3.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
73,1950,93000,2012,4.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
74,1695,115000,2007,6.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75,1750,130000,2010,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
76,2495,149000,2010,1.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
77,1389,68000,2002,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
78,4490,84000,2013,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
79,990,113000,2004,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
80,2849,101000,2009,4.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
81,2799,99061,2011,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
82,9149,55301,2016,2.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
84,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
85,1990,84815,2003,5.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
86,3495,127000,2015,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
87,1600,78521,2011,2.0,5.0,5.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
88,2650,85000,2008,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
89,2990,66000,2009,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
90,2495,171090,2010,3.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
91,4300,100479,2004,3.0,2.0,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
92,2499,68000,2008,4.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
93,1500,120000,2011,2.0,3.0,4.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
94,2495,113000,2009,6.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
95,2799,99061,2011,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
96,15900,62402,2019,1.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
98,10698,22782,2020,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
99,2950,105000,2011,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
100,3300,71000,2012,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
101,2490,67104,2010,1.0,4.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
102,1490,75000,2007,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
103,2495,104000,2006,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
104,1995,75350,2005,3.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
105,3490,22641,2006,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
106,2490,104392,2010,4.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
107,2995,104068,2010,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
108,2950,79000,2011,4.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
109,1950,93000,2012,4.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
110,10698,22782,2020,2.0,5.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112,10198,50028,2016,2.0,5.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
113,988,111479,2005,2.0,3.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
114,3250,126000,1995,4.0,5.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
115,1389,80000,2000,2.0,4.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
